File: collections.test
Type: cpu
Time: 2026-05-25 19:25:34 HST
Duration: 34.41s, Total samples = 29.28s (85.10%)
Showing nodes accounting for 26.14s, 89.28% of 29.28s total
Dropped 439 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
         0     0% 89.28%      1.39s  4.75%  github.com/snissn/gomap/TreeDB/internal/mappedresource.Uint32View
         0     0% 89.28%      0.45s  1.54%  internal/poll.(*FD).Close
         0     0% 89.28%      0.62s  2.12%  internal/poll.(*FD).Pread
         0     0% 89.28%      0.62s  2.12%  internal/poll.(*FD).Pread.func1 (inline)
         0     0% 89.28%      0.45s  1.54%  internal/poll.(*FD).decref
         0     0% 89.28%      0.45s  1.54%  internal/poll.(*FD).destroy
         0     0% 89.28%      0.45s  1.54%  internal/poll.(*SysFile).destroy (inline)
         0     0% 89.28%      0.62s  2.12%  internal/poll.ignoringEINTR2[go.shape.int] (inline)
         0     0% 89.28%      0.45s  1.54%  os.(*File).Close (inline)
         0     0% 89.28%      0.62s  2.12%  os.(*File).ReadAt
         0     0% 89.28%      0.62s  2.12%  os.(*File).pread (inline)
         0     0% 89.28%      0.45s  1.54%  os.(*file).close
         0     0% 89.28%      0.42s  1.43%  os.Open (inline)
         0     0% 89.28%      0.44s  1.50%  os.OpenFile
         0     0% 89.28%      0.18s  0.61%  os.Stat
         0     0% 89.28%      0.70s  2.39%  os.ignoringEINTR (inline)
         0     0% 89.28%      0.45s  1.54%  os.open (inline)
         0     0% 89.28%      0.44s  1.50%  os.openFileNolog
         0     0% 89.28%      0.44s  1.50%  os.openFileNolog.func1 (inline)
         0     0% 89.28%      0.18s  0.61%  os.statNolog
         0     0% 89.28%      0.18s  0.61%  os.statNolog.func1 (inline)
         0     0% 89.28%      0.32s  1.09%  runtime.(*mcache).nextFree
         0     0% 89.28%      0.31s  1.06%  runtime.(*mcache).refill
         0     0% 89.28%      3.51s 11.99%  runtime.(*mheap).alloc.func1
         0     0% 89.28%      3.54s 12.09%  runtime.(*mheap).allocSpan
         0     0% 89.28%      0.15s  0.51%  runtime.findRunnable
