File: collections.test
Type: alloc_space
Time: 2026-05-25 19:26:09 HST
Showing nodes accounting for 5606.46MB, 93.35% of 6005.77MB total
Dropped 302 nodes (cum <= 30.03MB)
      flat  flat%   sum%        cum   cum%
         0     0% 93.35%  1451.60MB 24.17%  github.com/snissn/gomap/TreeDB/collections.openColumnGraphRebuildTestCollectionV2A
         0     0% 93.35%   493.18MB  8.21%  github.com/snissn/gomap/TreeDB/collections.openColumnGraphTypedColumnVectorTestCollection1782
         0     0% 93.35%  1198.42MB 19.95%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphNativeSearchBenchFixtureV3
         0     0% 93.35%   264.87MB  4.41%  github.com/snissn/gomap/TreeDB/collections.openVectorBenchmarkCollection
         0     0% 93.35%   264.87MB  4.41%  github.com/snissn/gomap/TreeDB/collections.openVectorBenchmarkCollectionWithIndexes
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.prepareColumnPublishAssets
         0     0% 93.35%    44.79MB  0.75%  github.com/snissn/gomap/TreeDB/collections.prepareColumnVectorGraphRebuildManifest
         0     0% 93.35%   184.18MB  3.07%  github.com/snissn/gomap/TreeDB/collections.prepareColumnWritePublishInputBeforeCommandWAL
         0     0% 93.35%    65.07MB  1.08%  github.com/snissn/gomap/TreeDB/collections.reconstructColumnDocumentFromVisibleRowValues
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.retryInsertBatchMutation
         0     0% 93.35%   381.23MB  6.35%  github.com/snissn/gomap/TreeDB/collections.vectorFromStoredDocument
         0     0% 93.35%    35.87MB   0.6%  github.com/snissn/gomap/TreeDB/collections.writeManifestFloat32SliceWithEncoding
         0     0% 93.35%    45.29MB  0.75%  github.com/snissn/gomap/TreeDB/db.(*DB).PublishOrderedRootDeltaGroupWithCommandWALContextRootBuilderAndSystemDeltaBuilder (inline)
         0     0% 93.35%   116.71MB  1.94%  github.com/snissn/gomap/TreeDB/db.(*DB).PublishOrderedRootDeltaGroupWithPreflightCommandWALContextRootBuilderAndSystemDeltaBuilder (inline)
         0     0% 93.35%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/db.(*DB).appendCommandWALIntent
         0     0% 93.35%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/db.(*DB).appendPublicCommandWALIntent
         0     0% 93.35%      162MB  2.70%  github.com/snissn/gomap/TreeDB/db.(*DB).publishOrderedRootDeltaGroupWithCommandWALContextAndSystemDeltaBuilder
         0     0% 93.35%   183.13MB  3.05%  github.com/snissn/gomap/TreeDB/db.(*Snapshot).GetAppendAtRoot
         0     0% 93.35%  1416.21MB 23.58%  github.com/snissn/gomap/TreeDB/db.Open
         0     0% 93.35%  1415.21MB 23.56%  github.com/snissn/gomap/TreeDB/db.openWithLock
         0     0% 93.35%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/internal/commitlog.(*CommandJournal).AppendCommand
         0     0% 93.35%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 93.35%  1344.52MB 22.39%  github.com/snissn/gomap/TreeDB/internal/commitlog.OpenCommandJournal
         0     0% 93.35%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopeForEncode
         0     0% 93.35%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
         0     0% 93.35%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/internal/mappedresource.Uint32View
         0     0% 93.35%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/internal/typeddecode.Uint32ByteView
         0     0% 93.35%   182.63MB  3.04%  github.com/snissn/gomap/TreeDB/tree.(*Tree).GetAppend
         0     0% 93.35%  5199.96MB 86.58%  testing.(*B).launch
         0     0% 93.35%   793.89MB 13.22%  testing.(*B).run1.func1
         0     0% 93.35%  5994.37MB 99.81%  testing.(*B).runN
